Year,Count,Rate
1990,307,1.81
1991,324,1.88
1992,313,1.79
1993,332,1.88
1994,323,1.81
1995,327,1.82
1996,303,1.66
1997,299,1.62
1998,300,1.61
1999,328,1.74
2000,305,1.60
2001,310,1.61
2002,351,1.80
2003,299,1.52
2004,289,1.45
2005,248,1.23
2006,283,1.38
2007,258,1.24
2008,260,1.22
2009,254,1.17
2010,260,1.18
2011,236,1.06
2012,247,1.09
2013,249,1.08
2014,238,1.01
2015,227,0.95
2016,229,0.95
2017,232,0.94
2018,197,0.78
2019,226,0.88
2020,261,1.02
,,
,,
